ÍTEM,Tipo,DIRECCIÓN DNP3,VARIABLE,PRUEBA RTU ORION LX+
1,Analoga,0,Corriente In RMS S1 L.VEGAS-S.SOLAR 1,
2,Analoga,1,Corriente F.A Mag.S1 L.VEGAS-S.SOLAR 1,
3,Analoga,2,Corriente F.A Ang.S1 L.VEGAS-S.SOLAR 1,
4,Analoga,3,Corriente F.B Mag.S1 L.VEGAS-S.SOLAR 1,
5,Analoga,4,Corriente F.B Ang.S1 L.VEGAS-S.SOLAR 1,
6,Analoga,5,Corriente F.C Mag.S1 L.VEGAS-S.SOLAR 1,
7,Analoga,6,Corriente F.C Ang.S1 L.VEGAS-S.SOLAR 1,
8,Analoga,7,Voltaje F.A Mag.S1 L.VEGAS-S.SOLAR 1,
9,Analoga,8,Voltaje F.A Ang.S1 L.VEGAS-S.SOLAR 1,
10,Analoga,9,Voltaje F.B Mag.S1 L.VEGAS-S.SOLAR 1,
11,Analoga,10,Voltaje F.B Ang.S1 L.VEGAS-S.SOLAR 1,
12,Analoga,11,Voltaje F.C Mag.S1 L.VEGAS-S.SOLAR 1,
13,Analoga,12,Voltaje F.C Ang.S1 L.VEGAS-S.SOLAR 1,
14,Analoga,13,Voltaje F.A-B Mag.S1 L.VEGAS-S.SOLAR 1,
15,Analoga,14,Voltaje F.A-B Ang.S1 L.VEGAS-S.SOLAR 1,
16,Analoga,15,Voltaje F.B-C Mag.S1 L.VEGAS-S.SOLAR 1,
17,Analoga,16,Voltaje F.B-C Ang.S1 L.VEGAS-S.SOLAR 1,
18,Analoga,17,Voltaje F.C-A Mag.S1 L.VEGAS-S.SOLAR 1,
19,Analoga,18,Voltaje F.C-A Ang.S1 L.VEGAS-S.SOLAR 1,
20,Analoga,19,Potencia Activa S1 L.VEGAS-S.SOLAR 1,
21,Analoga,20,Potencia Reactiva S1 L.VEGAS-S.SOLAR 1,
22,Analoga,21,Frecuencia S1 L.VEGAS-S.SOLAR 1,
23,Analoga,22,Tipo Falla S1 L.VEGAS-S.SOLAR 1,
24,Analoga,23,Distancia Falla S1 L.VEGAS-S.SOLAR 1,
1,Digital,0,Telepro.CH1CRC Fail S1 L.VEGAS-S.SOLAR 1,
2,Digital,1,Teleprot.CH1 Fail S1 L.VEGAS-S.SOLAR 1,
3,Digital,2,Teleprot.CH1ID Fail S1 L.VEGAS-S.SOLAR 1,
4,Digital,3,Telepro.CH1PKT Lost S1 L.VEGAS-S.SOLAR 1,
5,Digital,4,Telepro.CH2CRC Fail S1 L.VEGAS-S.SOLAR 1,
6,Digital,5,Teleprot.CH2 Fail S1 L.VEGAS-S.SOLAR 1,
7,Digital,6,Teleprot.CH2ID Fail S1 L.VEGAS-S.SOLAR 1,
8,Digital,7,Telepro.CH2PKT Lost S1 L.VEGAS-S.SOLAR 1,
9,Digital,8,Bateria Fallada S1 L.VEGAS-S.SOLAR 1,
10,Digital,9,IRIG-B Fallada S1 L.VEGAS-S.SOLAR 1,
11,Digital,10,PRI.Ether.Fallada S1 L.VEGAS-S.SOLAR 1,
12,Digital,11,SEC.Ether.Fallada S1 L.VEGAS-S.SOLAR 1,
13,Digital,12,System Exception S1 L.VEGAS-S.SOLAR 1,
14,Digital,13,Op.Gnd Dist.Z1 S1 L.VEGAS-S.SOLAR 1,
15,Digital,14,Op.Gnd Dist.Z2 S1 L.VEGAS-S.SOLAR 1,
16,Digital,15,Op.Gnd Dist.Z3 S1 L.VEGAS-S.SOLAR 1,
17,Digital,16,Op.F.A Gnd Dist.Z1 S1 L.VEGAS-S.SOLAR 1,
18,Digital,17,Op.F.A Gnd Dist.Z2 S1 L.VEGAS-S.SOLAR 1,
19,Digital,18,Op.F.A Gnd Dist.Z3 S1 L.VEGAS-S.SOLAR 1,
20,Digital,19,Op.F.B Gnd Dist.Z1 S1 L.VEGAS-S.SOLAR 1,
21,Digital,20,Op.F.B Gnd Dist.Z2 S1 L.VEGAS-S.SOLAR 1,
22,Digital,21,Op.F.B Gnd Dist.Z3 S1 L.VEGAS-S.SOLAR 1,
23,Digital,22,Op.F.C Gnd Dist.Z1 S1 L.VEGAS-S.SOLAR 1,
24,Digital,23,Op.F.C Gnd Dist.Z2 S1 L.VEGAS-S.SOLAR 1,
25,Digital,24,Op.F.C Gnd Dist.Z3 S1 L.VEGAS-S.SOLAR 1,
26,Digital,25,Op.Ground Ioc1 S1 L.VEGAS-S.SOLAR 1,
27,Digital,26,Op.Ground Ioc2 S1 L.VEGAS-S.SOLAR 1,
28,Digital,27,Op.Ground Toc1 S1 L.VEGAS-S.SOLAR 1,
29,Digital,28,Op.Ground Toc2 S1 L.VEGAS-S.SOLAR 1,
30,Digital,29,Line Pickup Pkp S1 L.VEGAS-S.SOLAR 1,
31,Digital,30,Line Pickup RclTRIP S1 L.VEGAS-S.SOLAR 1,
32,Digital,31,Line Pickup Uv Pkp S1 L.VEGAS-S.SOLAR 1,
33,Digital,32,Op.Load Enchr S1 L.VEGAS-S.SOLAR 1,
34,Digital,33,Neg.Seq.Dir.Oc1 Fwd S1 L.VEGAS-S.SOLAR 1,
35,Digital,34,Neg.Seq.Dir.Oc2 Fwd S1 L.VEGAS-S.SOLAR 1,
36,Digital,35,Neg.Seq.Dir.Oc1 Rev S1 L.VEGAS-S.SOLAR 1,
37,Digital,36,Neg.Seq.Dir.Oc2 Rev S1 L.VEGAS-S.SOLAR 1,
38,Digital,37,Neg.Seq.Ioc1 DPO S1 L.VEGAS-S.SOLAR 1,
39,Digital,38,Neg.Seq.Ioc2 DPO S1 L.VEGAS-S.SOLAR 1,
40,Digital,39,Neg.Seq.Ioc1 Op.S1 L.VEGAS-S.SOLAR 1,
41,Digital,40,Neg.Seq.Ioc2 Op.S1 L.VEGAS-S.SOLAR 1,
42,Digital,41,Neg.Seq.Ov1 Op.S1 L.VEGAS-S.SOLAR 1,
43,Digital,42,Neg.Seq.Ov2 Op.S1 L.VEGAS-S.SOLAR 1,
44,Digital,43,Neg.Seq.Ov3 Op.S1 L.VEGAS-S.SOLAR 1,
45,Digital,44,Neg.Seq.Toc1 Op.S1 L.VEGAS-S.SOLAR 1,
46,Digital,45,Neg.Seq.Toc2 Op.S1 L.VEGAS-S.SOLAR 1,
47,Digital,46,Neg.Seq.Ioc1 Op.S1 L.VEGAS-S.SOLAR 1,
48,Digital,47,Neg.Seq.Ioc2 Op.S1 L.VEGAS-S.SOLAR 1,
49,Digital,48,Neutral Ioc1 Op.S1 L.VEGAS-S.SOLAR 1,
50,Digital,49,Neutral Ioc2 Op.S1 L.VEGAS-S.SOLAR 1,
51,Digital,50,Neutral Ov1 Op.S1 L.VEGAS-S.SOLAR 1,
52,Digital,51,Neutral Ov2 Op.S1 L.VEGAS-S.SOLAR 1,
53,Digital,52,Neutral Ov3 Op.S1 L.VEGAS-S.SOLAR 1,
54,Digital,53,Neutral Toc1 Op.S1 L.VEGAS-S.SOLAR 1,
55,Digital,54,Neutral Toc2 Op.S1 L.VEGAS-S.SOLAR 1,
56,Digital,55,Ntrl.Dir.Oc1 Fwd S1 L.VEGAS-S.SOLAR 1,
