ÍTEM,Tipo,DIRECCIÓN DNP3,VARIABLE,PRUEBA RTU ORION LX+
1,Analoga,0,Corriente IA Dist.S2 S.PEDRO-L.VEGAS 2,
2,Analoga,1,Angulo IA Dist.S2 S.PEDRO-L.VEGAS 2,
3,Analoga,2,Corriente IB Dist.S2 S.PEDRO-L.VEGAS 2,
4,Analoga,3,Angulo IB Dist.S2 S.PEDRO-L.VEGAS 2,
5,Analoga,4,Corriente IC Dist.S2 S.PEDRO-L.VEGAS 2,
6,Analoga,5,Angulo IC Dist.S2 S.PEDRO-L.VEGAS 2,
7,Analoga,6,Corriente IN Dist.S2 S.PEDRO-L.VEGAS 2,
8,Analoga,7,Angulo IN Dist.S2 S.PEDRO-L.VEGAS 2,
9,Analoga,8,Voltaje VAN Dist.S2 S.PEDRO-L.VEGAS 2,
10,Analoga,9,Angulo VAN Dist.S2 S.PEDRO-L.VEGAS 2,
11,Analoga,10,Voltaje VBN Dist.S2 S.PEDRO-L.VEGAS 2,
12,Analoga,11,Angulo VBN Dist.S2 S.PEDRO-L.VEGAS 2,
13,Analoga,12,Voltaje VCN Dist.S2 S.PEDRO-L.VEGAS 2,
14,Analoga,13,Angulo VCN Dist.S2 S.PEDRO-L.VEGAS 2,
15,Analoga,14,Frecuencia Dist.S2 S.PEDRO-L.VEGAS 2,
16,Analoga,15,Pot.Activa Dist.S2 S.PEDRO-L.VEGAS 2,
17,Analoga,16,Pot.Reactiva Dist.S2 S.PEDRO-L.VEGAS 2,
18,Analoga,17,Pot.Aparente Dist.S2 S.PEDRO-L.VEGAS 2,
19,Analoga,18,Gr.Ajuste Act.Dist.S2 S.PEDRO-L.VEGAS 2,
20,Analoga,19,Codigo Falla Dist.S2 S.PEDRO-L.VEGAS 2,
21,Analoga,20,Fecha Falla Dist.S2 S.PEDRO-L.VEGAS 2,
22,Analoga,21,Durac.Falla Dist.S2 S.PEDRO-L.VEGAS 2,
23,Analoga,22,Tiempo Aper.Rele Dist.S2 S.PED-L.VEGAS 2,
24,Analoga,23,Dist.Falla Dist.S2 S.PEDRO-L.VEGAS 2,
25,Analoga,24,Corr.Falla IA Dist.S2 S.PEDRO-L.VEGAS 2,
26,Analoga,25,Corr.Falla IB Dist.S2 S.PEDRO-L.VEGAS 2,
27,Analoga,26,Corr.Falla IC Dist.S2 S.PEDRO-L.VEGAS 2,
28,Analoga,27,Corr.Falla IN Dist.S2 S.PEDRO-L.VEGAS 2,
29,Analoga,28,Volt.Falla VA Dist.S2 S.PEDRO-L.VEGAS 2,
30,Analoga,29,Volt.Falla VB Dist.S2 S.PEDRO-L.VEGAS 2,
31,Analoga,30,Volt.Falla VC Dist.S2 S.PEDRO-L.VEGAS 2,
32,Analoga,31,Tiempo Apert.Int.Dist.S2 S.PED-L.VEGAS 2,
1,Digital,0,Habilit.Rele Dist.S2 S.PEDRO-L.VEGAS 2,
2,Digital,1,Falla Int.Bater.Dist.S2 S.PED-L.VEGAS 2,
3,Digital,2,Falla Potencial.Dist.S2 S.PED-L.VEGAS 2,
4,Digital,3,Falla Comu.Eth 1 Dist.S2 S.PED-L.VEGAS 2,
5,Digital,4,Falla Comu.Eth 2 Dist.S2 S.PED-L.VEGAS 2,
6,Digital,5,Sincr.Ext.Irig-B Dist.S2 S.PED-L.VEGAS 2,
7,Digital,6,Op.Dist.F.A Z.1 S2 S.PEDRO-L.VEGAS 2,
8,Digital,7,Op.Dist.F.B Z.1 S2 S.PEDRO-L.VEGAS 2,
9,Digital,8,Op.Dist.F.C Z.1 S2 S.PEDRO-L.VEGAS 2,
10,Digital,9,Op.Dist.F.N Z.1 S2 S.PEDRO-L.VEGAS 2,
